Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0004463	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.1888111888111888	3	3	0	0.25	0.25
OG0001787	16	0	0	23	100.0	100.0	inf	2.651727822798556e-11	8.565080867639336e-09	0.19080919080919082	6	6	0	0.03125	0.03125
OG0002149	16	0	0	23	100.0	100.0	inf	2.651727822798556e-11	8.565080867639336e-09	0.19080919080919082	6	6	0	0.03125	0.03125
OG0002971	16	0	0	23	100.0	100.0	inf	2.651727822798556e-11	8.565080867639336e-09	0.19080919080919082	6	6	0	0.03125	0.03125
OG0002972	16	0	0	23	100.0	100.0	inf	2.651727822798556e-11	8.565080867639336e-09	0.19080919080919082	6	6	0	0.03125	0.03125
OG0002973	16	0	0	23	100.0	100.0	inf	2.651727822798556e-11	8.565080867639336e-09	0.19080919080919082	6	6	0	0.03125	0.03125
OG0004468	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.1918081918081918	3	3	0	0.25	0.25
OG0003950	8	1	8	22	50.0	95.65217391304348	22.0	0.0014508166410693362	0.4686137750653956	0.19480519480519481	4	4	0	0.125	0.125
OG0002234	16	12	0	11	100.0	47.82608695652174	inf	0.0009191995730185723	0.29690146208499885	0.1968031968031968	3	3	0	0.25	0.25
OG0003159	12	2	4	21	75.0	91.30434782608695	31.5	3.1387176374554565e-05	0.010138057968981125	0.2037962037962038	5	4	1	0.375	0.375
OG0002286	14	8	2	15	87.5	65.21739130434783	13.125	0.0013334974402827687	0.4307196732113343	0.2037962037962038	4	4	1	0.125	0.625
OG0003656	10	0	6	23	62.5	100.0	inf	1.259623750385775e-05	0.004068584713746053	0.2077922077922078	3	3	0	0.25	0.25
OG0003657	10	0	6	23	62.5	100.0	inf	1.259623750385775e-05	0.004068584713746053	0.2077922077922078	3	3	0	0.25	0.25
OG0003673	10	0	6	23	62.5	100.0	inf	1.259623750385775e-05	0.004068584713746053	0.2077922077922078	3	3	0	0.25	0.25
OG0004454	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.2097902097902098	3	3	0	0.25	0.25
OG0004487	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.21878121878121878	3	3	0	0.25	0.25
OG0003104	12	3	4	20	75.0	86.95652173913044	20.0	0.00015345509134617497	0.04956599450481451	0.22377622377622378	5	4	1	0.375	0.375
OG0003728	0	10	16	13	0.0	56.52173913043478	0.0	0.002226038928325998	0.7190105738492975	0.22377622377622378	3	0	3	0.25	0.25
OG0003275	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.22577422577422576	5	4	2	0.375	1.0
OG0003274	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.22577422577422576	5	4	2	0.375	1.0
OG0003273	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.22577422577422576	5	4	2	0.375	1.0
