Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0003284	4	8	15	2	21.052631578947366	20.0	0.06666666666666667	0.004521914866742497	0.8139446760136495	0.29270729270729273	5	1	4	0.375	0.375
OG0003538	1	7	18	3	5.263157894736842	30.0	0.023809523809523808	0.0005416871983588667	0.097503695704596	0.3066933066933067	4	1	3	0.625	0.625
OG0004864	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004863	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004513	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004512	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004862	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004859	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004861	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004430	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004429	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0003564	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004860	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.3096903096903097	2	0	2	0.5	0.5
OG0004168	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.31368631368631367	2	0	2	0.5	0.5
OG0004167	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.31368631368631367	2	0	2	0.5	0.5
OG0004834	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.31368631368631367	2	0	2	0.5	0.5
OG0004835	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.31368631368631367	2	0	2	0.5	0.5
OG0002191	4	8	15	2	21.052631578947366	20.0	0.06666666666666667	0.004521914866742497	0.8139446760136495	0.3166833166833167	5	1	4	0.375	0.375
OG0002212	17	3	2	7	89.47368421052632	70.0	19.833333333333332	0.002135295988369434	0.38435327790649815	0.3196803196803197	4	3	2	0.625	1.0
OG0002211	17	3	2	7	89.47368421052632	70.0	19.833333333333332	0.002135295988369434	0.38435327790649815	0.3196803196803197	4	3	2	0.625	1.0
OG0000175	17	3	2	7	89.47368421052632	70.0	19.833333333333332	0.002135295988369434	0.38435327790649815	0.3196803196803197	4	3	2	0.625	1.0
OG0002978	4	8	15	2	21.052631578947366	20.0	0.06666666666666667	0.004521914866742497	0.8139446760136495	0.3306693306693307	4	1	4	0.125	0.625
OG0002856	11	0	8	10	57.89473684210527	100.0	inf	0.0034949558187939065	0.6290920473829031	0.35364635364635366	5	5	0	0.0625	0.0625
OG0002485	4	8	15	2	21.052631578947366	20.0	0.06666666666666667	0.004521914866742497	0.8139446760136495	0.3706293706293706	6	2	4	0.6875	0.6875
OG0002326	6	9	13	1	31.57894736842105	10.0	0.05128205128205128	0.005197401299350226	0.9355322338830406	0.37162837162837165	4	1	4	0.125	0.625
OG0002595	17	3	2	7	89.47368421052632	70.0	19.833333333333332	0.002135295988369434	0.38435327790649815	0.3756243756243756	4	3	1	0.625	0.625
OG0002086	4	8	15	2	21.052631578947366	20.0	0.06666666666666667	0.004521914866742497	0.8139446760136495	0.3996003996003996	6	2	4	0.6875	0.6875
